DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
as-Skitter.mtx.el_gz          	    kern_rank_cud_stp_row	  1	  1696415	 22190596	 10	    81.212	     0.894	     0.000	  6386.994	     0.000	     8.262
as-Skitter.mtx.el_gz          	    kern_rank_cud_wrp_row	  1	  1696415	 22190596	 10	    60.633	     0.896	     0.000	  4328.862	     0.000	     8.263
as-Skitter.mtx.el_gz          	    kern_rank_cud_dyn_row	  1	  1696415	 22190596	 10	    72.647	     0.895	     0.000	  5529.907	     0.000	     8.262
as-Skitter.mtx.el_gz          	    kern_rank_cud_lib_row	  1	  1696415	 22190596	 10	   580.272	     1.265	     0.000	 55732.565	     0.000	     8.265
as-Skitter.mtx.el_gz          	    kern_rank_omp_def_col	  1	  1696415	 22190596	 10	   283.345	     6.995	     0.000	 27327.347	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_omp_stp_col	  1	  1696415	 22190596	 10	   131.149	    10.276	     0.000	 11707.542	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_omp_bin_col	  1	  1696415	 22190596	 10	    96.137	     8.267	     0.000	  8425.109	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_cud_def_col	  1	  1696415	 22190596	 10	   125.850	     0.821	     0.000	  7877.381	     0.000	    37.941
as-Skitter.mtx.el_gz          	    kern_rank_cud_stp_col	  1	  1696415	 22190596	 10	    81.988	     0.947	     0.000	  3358.494	     0.000	    38.631
as-Skitter.mtx.el_gz          	    kern_rank_cud_wrp_col	  1	  1696415	 22190596	 10	    70.752	     0.940	     0.000	  2242.030	     0.000	    38.558
as-Skitter.mtx.el_gz          	    kern_rank_cud_dyn_col	  1	  1696415	 22190596	 10	    65.654	     0.947	     0.000	  1659.261	     0.000	    39.282
as-Skitter.mtx.el_gz          	    kern_rank_cud_lib_col	  1	  1696415	 22190596	 10	   130.634	     1.317	     0.000	  7687.435	     0.000	    38.429
